relation,n,MRR,Hits@1,Hits@3,Hits@10
OVERALL,2078,0.062006513353826495,0.034167468719923,0.06448508180943215,0.1068334937439846
adjacent,78,0.02689657434473724,0.01282051282051282,0.01282051282051282,0.0641025641025641
affinity,1412,0.06291279929430811,0.03328611898016997,0.06657223796033994,0.11048158640226628
complement,410,0.051700583599533056,0.02926829268292683,0.05121951219512195,0.08780487804878048
homonym,38,0.059147712870160005,0.05263157894736842,0.05263157894736842,0.05263157894736842
isomorphic,14,0.1603658365465423,0.07142857142857142,0.21428571428571427,0.21428571428571427
opposition,16,0.00813169412747197,0.0,0.0,0.0
synonym,110,0.10998771058393744,0.07272727272727272,0.11818181818181818,0.18181818181818182
