tag,ant_any_mean,ant_any_n,ant_any_pct75,ant_both_mean,ant_both_n,ant_both_pct75,ant_both_lex_mean,ant_both_lex_n,ant_both_lex_pct75,ant_both_morph_mean,ant_both_morph_n,ant_both_morph_pct75,twins_mean,twins_n,twins_pct75,syn_held_mean,syn_held_n,ctrl_mean,ctrl_n,dict_complement_abs_err,dict_synonym_abs_err,stsb
baseline,59.59286880493164,939,7.880724174653888,58.632606506347656,125,8.799999999999999,60.0909309387207,46,10.869565217391305,57.783451080322266,79,7.59493670886076,56.99491882324219,17,5.88235294117647,65.39148712158203,689,78.62017059326172,1500,16.668110370647153,42.23097442279883,0.867097774946541
V2ref,51.805912017822266,939,0.10649627263045794,51.27711868286133,125,0.0,50.92427444458008,46,0.0,51.48256301879883,79,0.0,52.54151916503906,17,0.0,53.3841552734375,689,65.0491714477539,1500,9.114476085011553,14.936217877558288,0.8626362958559762
W0_rule_only,76.90935516357422,939,69.6485623003195,77.67633819580078,125,73.6,61.816707611083984,46,43.47826086956522,86.91105651855469,79,91.13924050632912,57.29207229614258,17,41.17647058823529,31.292625427246094,689,46.51236343383789,1500,17.489956831858564,39.1617446795349,0.8595815729469761
W1_full,77.24254608154297,939,70.28753993610223,77.8475341796875,125,72.0,62.432552337646484,46,39.130434782608695,86.82334899902344,79,91.13924050632912,58.204193115234375,17,35.294117647058826,30.93846893310547,689,45.66470718383789,1500,10.498036051442215,14.591918566059444,0.8603742061350037
